date,To,Ti_DORMITORIODAMAS
2019-10-16 02:30:00,-0.2,7.306031617069178
2019-10-16 02:45:00,-0.24999999999999997,7.227386043905411
2019-10-16 03:00:00,-0.3,7.15058388897703
2019-10-16 03:15:00,-0.375,7.075523728424667
2019-10-16 03:30:00,-0.44999999999999996,7.003213043013968
2019-10-16 03:45:00,-0.5249999999999999,6.9293182669291165
2019-10-16 04:00:00,-0.6,6.854772070414889
2019-10-16 04:15:00,-0.6499999999999999,6.781533077926675
2019-10-16 04:30:00,-0.7,6.706957194980264
2019-10-16 04:45:00,-0.7500000000000001,6.63249320934104
2019-10-16 05:00:00,-0.8,6.5592710489992285
2019-10-16 05:15:00,-0.7250000000000001,6.500357873923628
2019-10-16 05:30:00,-0.65,6.442603134624586
2019-10-16 05:45:00,-0.575,6.390919022437273
2019-10-16 06:00:00,-0.5,6.354125676254786
2019-10-16 06:15:00,0.15000000000000002,6.349395357776977
2019-10-16 06:30:00,0.8,6.34272328241233
2019-10-16 06:45:00,1.4500000000000002,6.266479842637489
2019-10-16 07:00:00,2.1,6.282742497603143
2019-10-16 07:15:00,2.5500000000000003,6.432619062778707
2019-10-16 07:30:00,3.0,6.598213427024883
2019-10-16 07:45:00,3.4499999999999997,6.701324249988025
2019-10-16 08:00:00,3.9,6.772108575968895
2019-10-16 08:15:00,4.35,6.8779078314292335
2019-10-16 08:30:00,4.8,7.032707058959957
2019-10-16 08:45:00,5.25,7.176377894208608
2019-10-16 09:00:00,5.7,7.330777980655223
2019-10-16 09:15:00,5.9750000000000005,7.46059505957642
2019-10-16 09:30:00,6.25,7.573558399666975
2019-10-16 09:45:00,6.5249999999999995,7.693809815639632
2019-10-16 10:00:00,6.8,7.730810631412182
2019-10-16 10:15:00,7.225,7.781195668509417
2019-10-16 10:30:00,7.65,7.827875252629914
2019-10-16 10:45:00,8.075,7.886769324893154
2019-10-16 11:00:00,8.5,7.95140799396185
2019-10-16 11:15:00,8.775,8.058377880290855
2019-10-16 11:30:00,9.05,8.1881612958542
2019-10-16 11:45:00,9.325,8.328897665434447
2019-10-16 12:00:00,9.6,8.529056336349198
2019-10-16 12:15:00,9.725,8.623618660392818
2019-10-16 12:30:00,9.85,8.769565789984327
2019-10-16 12:45:00,9.975,8.891529116096091
2019-10-16 13:00:00,10.1,9.037747594973048
2019-10-16 13:15:00,10.174999999999999,9.182760528391404
2019-10-16 13:30:00,10.25,9.30270063305558
2019-10-16 13:45:00,10.325000000000001,9.40606160932905
2019-10-16 14:00:00,10.4,9.503352917444555
2019-10-16 14:15:00,10.4,9.596211461656615
2019-10-16 14:30:00,10.4,9.682609128407343
2019-10-16 14:45:00,10.4,9.759962404517006
2019-10-16 15:00:00,10.4,9.829875640016455
2019-10-16 15:15:00,10.3,9.884325497339594
2019-10-16 15:30:00,10.2,9.925196079662364
2019-10-16 15:45:00,10.1,9.943286991565653
2019-10-16 16:00:00,10.0,9.97024843385369
2019-10-16 16:15:00,9.75,10.010553993906118
2019-10-16 16:30:00,9.5,10.024815740744518
2019-10-16 16:45:00,9.25,9.987234124365973
2019-10-16 17:00:00,9.0,9.967621056516162
2019-10-16 17:15:00,8.675,9.942856084956299
2019-10-16 17:30:00,8.35,9.871759252282938
2019-10-16 17:45:00,8.025,9.802427605086796
